username,review,product
ANDRI,"mendarat dengan aman, packing aman, engga bocor, pengiriman cepat.",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah
K***s,"thank you, hotto nya asli, pengiriman cepat, harga bersahabat",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink Cereal
Awalia,mantap,Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ Sunblock Acne
gugun,good,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
Marissa,sesuai pesanan,Golden Viera Soap Original Asli Paket Hemat 3pcs
C***y,"bnr2 berkhasiat minum ini utk diet, jd gak gampang laper.....enak diminum mlm hari biar gak mkn byk2 hehehe......",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink / ECER
d***f,"parfumnya wangi, cocok buat malam",Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance
r***n,"wangi dan harum 
cuman sayang mas paket kurang ramah",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri
Neneng,Seller amanah🙏,YOU Purifying Bubble Sheet Mask Bubble Detox Masker Wajah Oil Control
h***f,"Wangi : seger fruity di awal terus drydown kayu2 an ada manisnya

Kecocokan : menurutku versatile cocok untuk semua occassion dari pagi siang sore malam",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria
R***y,Sudah sampai dengan selamat. Terimakasih,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
A***a,pengemasan dan pengiriman oke barang aman sip deh pokoknya udh langganan disini,Whitelab Brightening Facial Wash Sabun Muka Pencerah Facewash
A***s,"pelayanan mantap. barang ori dan bermanfaat.
sudah reorder.",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri
C***A,Kualitas barang ok. Penjual responsif. Terima kasih.,Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut
Sulistyoningsih,sesuai ekspektasi dan coco dg tone kulitnya....suka dech,Nuface Flawless Serum Cushion with SPF 30 PA+++ Medium to High Coverage Bedak Wajah
