username,review,product,clean_review
ANDRI,"mendarat dengan aman, packing aman, engga bocor, pengiriman cepat.",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah,darat aman packing aman engga bocor kirim cepat
K***s,"thank you, hotto nya asli, pengiriman cepat, harga bersahabat",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink Cereal,thank you hotto nya asli kirim cepat harga sahabat
Awalia,mantap,Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ Sunblock Acne,mantap
gugun,good,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,good
Marissa,sesuai pesanan,Golden Viera Soap Original Asli Paket Hemat 3pcs,sesuai pesan
C***y,"bnr2 berkhasiat minum ini utk diet, jd gak gampang laper.....enak diminum mlm hari biar gak mkn byk2 hehehe......",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink / ECER,benar-benar khasiat minum utk diet jd gak gampang laperenak minum mlm hari biar gak mkn byk2 hehehe
d***f,"parfumnya wangi, cocok buat malam",Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance,parfum wangi cocok buat malam
r***n,"wangi dan harum 
cuman sayang mas paket kurang ramah",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,wangi harum cuman sayang mas paket kurang ramah
Neneng,Seller amanah🙏,YOU Purifying Bubble Sheet Mask Bubble Detox Masker Wajah Oil Control,seller amanah
h***f,"Wangi : seger fruity di awal terus drydown kayu2 an ada manisnya

Kecocokan : menurutku versatile cocok untuk semua occassion dari pagi siang sore malam",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria,wangi seger fruity awal terus drydown kayu-kayu an manis cocok turut versatile cocok semua occassion pagi siang sore malam
R***y,Sudah sampai dengan selamat. Terimakasih,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,sampai selamat terimakasih
A***a,pengemasan dan pengiriman oke barang aman sip deh pokoknya udh langganan disini,Whitelab Brightening Facial Wash Sabun Muka Pencerah Facewash,emas kirim oke barang aman sip deh pokok udh langgan sini
A***s,"pelayanan mantap. barang ori dan bermanfaat.
sudah reorder.",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,layan mantap barang ori manfaat sudah reorder
C***A,Kualitas barang ok. Penjual responsif. Terima kasih.,Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut,kualitas barang jual responsif terima kasih
Sulistyoningsih,sesuai ekspektasi dan coco dg tone kulitnya....suka dech,Nuface Flawless Serum Cushion with SPF 30 PA+++ Medium to High Coverage Bedak Wajah,sesuai ekspektasi coco dg tone kulitnyasuka dech
Zulian,"Stock lama, beruntung segelnya belum terbuka",Azarine Hydrasoothe Sunscreen Gel SPF 45 Sunblock Gel Sun Protection,stock lama untung segel buka
Nono,pesanan semuanya sesuai trimakasih,Dettol Bundling Bar Soap Sabun Batang Anti Bakteri Body Soap,pesan semua sesuai trimakasih
Nono,trimakasih pesanan sesuai paking cukup aman,Dettol Refill Body Wash Sabun Mandi Cair Anti Bakteri Body Shower,trimakasih pesan sesuai paking cukup aman
Nono,trimaksih pesann SDH sampai,Kojie San Skin Lightening Soap - Kojic Acid Soap Body Soap Kojie San,trimaksih pesann sdh
Syah,"Barang sudah diterima, instan sesuai jadwal. Mooi viral cepat habis",Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,barang terima instan sesuai jadwal mooi viral cepat habis
A***a,"thanks, pesanan sampai... good conditions...",NEWLAB Brightlogy C-Gluta 360 Boost Minuman Glutathione Pencerah Kulit,thanks pesan good conditions
A***g,Ok,KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,
R***a,"kurirnya cepet , bublle wrapnya tebel cepet meresap , kalo untuk cocok atau engga nya tergantung kulitnya,  mudah menyerap",Pipiqiu 7% Panthenol + 7% Cica Mugwort Skin Barrier Soothing Moisture Gel Pelembab Wajah Moisturizer,kurir cepet bublle wrapnya tebel cepet resap kalo cocok engga nya gantung kulit mudah serap
indra,mantap,The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream,mantap
A***d,"minyak rambutnya bagus, awet dirambut dan ga mengganggu kalo keringetan",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,minyak rambut bagus awet rambut ga ganggu kalo keringetan
M***y,sukaaa bnget moisturizer paling best yg pernah aku coba,Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,sukaaa bnget moisturizer paling best yang pernah aku coba
rico,"tutup nya rusak, tidak bisa ditutup",Whitelab Brightening Facial Wash Sabun Muka Pencerah Facewash,tutup nya rusak bisa tutup
R***l,Bahannya pas sih ini jadi mungkin akan beli atau order kembali. apalagi yang punya wajah sensitif.,Azarine x Marvel Calming SkinPair Serum Repair Complex,bahan pas sih jadi mungkin beli order apalagi punya wajah sensitif
Widianto,Tgl exp di bln 03 2025,BROMEN Acne Fight Expert Acne Spot Gel Obat Totol Jerawat Bruntusan,tgl exp bln 03 2025
vandii,"sempet mau ganti variant, tapi ternyata suit tea enak banget dipake buat kerja, wangi nya fresh cowo banget",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria,sempet mau ganti variant nyata suit tea enak banget dipake buat kerja wangi nya fresh cowo banget
A***s,"barang sampai, cman expedisinya yg lama",Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria,barang cman expedisinya yang lama
Guruh,"Toner yang ada 5% niacinamide nya bener-bener gong bangetttt bisa mencerahkan dan dia ada klaim whitening*, tapi Saya belum tahu pasti karena belum rutin sebelumnya Saya... ",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,toner 5 niacinamide nya benerbener gong bangetttt cerah dia ada klaim whitening tahu karena rutin belum saya
P***u,"setia dengan produk whitelab, udah cocok",Whitelab Acne Care Facial Wash Sabun Muka Wajah Jerawat Face Wash,setia produk whitelab udah cocok
Sulthan,wangi,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance,wangi
rarara,bagusss bangetttt,BIOAQUA Fantastic Me Glossy Lip Tint Lip Stain Waterproof LipTint Glass Shine,bagusss bangetttt
W***i,isinya dikit bet uyyy tapi ga papa tetep bagus semoga cocok,Animate Glowing Barrier Skin Repair Series 5in1 Paket Skincare Animate,isi dikit bet uyyy ga papa tetep bagus moga cocok
E***o,"Alhamdulillah pesanan sudah saya terima dengan baik, pengiriman cepat. Terima kasih buat seller dan kurir, semoga sukses 💯👍",Bright & Glow Face Soap by Kojic Plankton | Brightening Soap - 40gr,alhamdulillah pesan saya terima baik kirim cepat terima kasih buat seller kurir moga sukses
Rendra,🔥🔥🔥🔥🔥 top,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,top
Rizqi,"semoga tidak overclaim, moisturizer cukup enak dipake untuk aku yg tipe kulit kering. dpt free masker juga 💞",Pipiqiu 10% Niacinamide + Tranexamic Acid Extra Bright Skin Barrier Moisture Gel Pelembab Moisturizer,moga overclaim moisturizer cukup enak dipake aku yang tipe kulit kering dpt free masker
Moch,"Ori sesuai dengan deskripsi, terima kasih banyak kak...",Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++,ori sesuai deskripsi terima kasih banyak kak
